Canción,Intérprete(s),Fecha,Semanas en el top,Idioma,Tipo intérprete (H/M/grupo/colaboración),Estilo
My Sweet Lord,George Harrison,27/02/1971,8,,Hombre,Rock
Qué será,José Feliciano,24/04/1971,1,,Hombre,pop latino
Love Story,Francis Lai,1/05/1971,3,,Hombre,ligera
Baby Jump,Mungo Jerry,22/05/1971,2,,Grupo,Rock
En mis sueños,Blume,5/06/1971,2,,Hombre,Rock
Borriquito,Peret,19/06/1971,3,,Hombre,Rumba
"Sing, Sing, Barbara",Laurent & The Mardi Gras,10/07/1971,3,,Grupo,rock
Brown Sugar,The Rolling Stones,31/07/1971,2,,Grupo,Rock
Yo confieso,Mari Trini,14/08/1971,1,,Mujer,balada
Historia de amor (Love Story),Astrud Gilberto,21/08/1971,1,,Mujer,Jazz
Carmen,Trébol,28/08/1971,2,,Grupo,pop
Ayúdame,Tony Ronald,11/09/1971,5,,Hombre,pop
Mammy Blue,Joel Dayde,16/10/1971,5,,Hombre,rock
Get It On,T.Rex,20/11/1971,2,,Grupo,Rock
Maggie May,Rod Stewart,4/12/1971,2,,Hombre,Rock
Pandeirada,Andrés do Barro,18/12/1971,1,,Hombre,autor
Manda Christmas,Los diablos,25/12/1971,2,,Grupo,pop
El chico de la armónica,Micky,8/01/1972,1,,Hombre,Rock
The Witch Queen Of New Orleans,Redbone,15/01/1972,2,,Grupo,Rock
The Mouth Organ Boy,Micky,29/01/1972,3,,Hombre,Rock
Hello Buddy,The Tremeloes,19/02/1972,1,,Grupo,beat
El refugio,Miguel Ríos,26/02/1972,1,,Hombre,Rock
Soleil Soleil,Middle of the Road,4/03/1972,1,,Grupo,pop
Yo no soy esa,Mari Trini,11/03/1972,6,,Mujer,balada
Un beso y una flor,Nino Bravo,22/04/1972,4,,Hombre,Pop
I love you baby,Tony Ronald,20/05/1972,1,,Hombre,pop
Ve con él,Basilio,27/05/1972,2,,Hombre,balada
"Oh, Oh, July",Los Diablos,10/06/1972,5,,Grupo,pop
Adiós tristezas,Micky,15/07/1972,4,,Hombre,Rock
Mátame,Arena caliente,12/08/1972,2,,Grupo,pop
Por una mujer,Julio Iglesias,26/08/1972,1,,Hombre,Pop latino
Splendid Time,Marisol,2/09/1972,2,,Mujer,balada
Take Me Back 'Ome,Slade,16/09/1972,2,,Grupo,Heavy metal
Cantares,Miguel Ríos,30/09/1972,1,,Hombre,Rock
"Amor, háblame dulcemente",Andy Williams,7/10/1972,10,,Hombre,balada
Woman To Woman,Joe Cocker,16/12/1972,3,,Hombre,Blues
Por si tú quieres saber,Jairo,6/01/1973,2,,Hombre,folk
"Amor, amar",Camilo Sesto,20/01/1973,11,,Hombre,Balada
"Pardon me, sir",Joe Cocker,7/04/1973,1,,Hombre,Blues
Charly,Santabárbara,14/04/1973,1,,Hombre,Pop
"Pardon me, Sir",Joe Cocker,21/04/1973,1,,Hombre,Blues
Charly,Santabárbara,28/04/1973,2,,Hombre,Pop
Forever and Ever,Demis Roussos,12/05/1973,6,,Grupo,pop
Get Down,Gilbert O'Sullivan,23/06/1973,4,,Hombre,rock
Eva María,Fórmula V,21/07/1973,2,,Grupo,pop
Todo por nada,Camilo Sesto,4/08/1973,2,,Hombre,Balada
"América, América",Nino Bravo,18/08/1973,15,,Hombre,Pop
La estrella de David,Juan Bau,1/12/1973,6,,Hombre,balada
48 Crash,Suzi Quatro,12/01/1974,3,,Mujer,Rock
"Una, dos y tres",Patxi Andión,2/02/1974,1,,Hombre,autor
Photograph,Ringo Starr,9/02/1974,2,,Hombre,Rock
La distancia,Roberto Carlos,23/02/1974,9,,Hombre,Balada
The Ballroom Blitz,The Sweet,27/04/1974,3,,Grupo,rock
Devil Gate Drive,Suzi Quatro,18/05/1974,1,,Mujer,Rock
"Someday, Somewhere",Demis Roussos,25/05/1974,4,,Hombre,pop
Ayudadme,Camilo Sesto,22/06/1974,3,,Hombre,Balada
Tómame o déjame,Mocedades,13/07/1974,11,,Grupo,Folk
Conversaciones conmigo mismo,Juan Pardo,28/09/1974,12,,Hombre,Pop
Todo el tiempo del mundo,Manolo Otero,21/12/1974,1,,Hombre,balada
Actitudes,Roberto Carlos,28/12/1974,5,,Hombre,Balada
Hi-Jack,Barrabás,1/02/1975,2,,Grupo,Soul
Neniña (viste pantalón vaquero),Pepe Domingo Castaño,15/02/1975,1,,Hombre,balada
Quédate,Miguel Gallardo,22/02/1975,4,,Hombre,Balada
I Can Help,Billy Swan,22/03/1975,1,,Hombre,country
Quédate,Miguel Gallardo,29/03/1975,1,,Hombre,Balada
"You're The First, The Last, My Everything",Barry White,5/04/1975,4,,Hombre,R&B
El Bimbó,Georgie Dann,3/05/1975,3,,Hombre,pop
Ven otra vez,Toni Artis,24/05/1975,3,,Hombre,Balada
Caballo negro,Manolo Sanlúcar,14/06/1975,1,,Hombre,instrumental
Y te vas,José Luis Perales,21/06/1975,4,,Hombre,Balada
Melina,Camilo Sesto,19/07/1975,6,,Hombre,Balada
Paloma blanca,George Baker Selection,30/08/1975,1,,Grupo,Pop-rock
"Saca el güisky, Cheli",Desmadre 75,6/09/1975,5,,Grupo,Humorístico
Feelings,Morris Albert,11/10/1975,1,,Hombre,Pop
El solitario,Nubes grises,18/10/1975,2,,Grupo,pop
The Hustle,Van McCoy & The Soul City Symphony,1/11/1975,1,,Grupo,Disco
One Of These Nights,The Eagles,8/11/1975,2,,Grupo,Rock
Secretaria,Mocedades,22/11/1975,2,,Grupo,Folk
"Amor, amor",Lolita,6/12/1975,1,,Mujer,flamenco
"Vete, vete",Daniel Velázquez,13/12/1975,2,,Hombre,pop
Que no soy yo,Joan Baptista Humet,27/12/1975,1,,Hombre,autor
Hoy tengo ganas de ti,Miguel Gallardo,3/01/1976,3,,Hombre,Balada
Natacha y yo,Juan Bau,24/01/1976,1,,Hombre,balada
Jamás,Camilo Sesto,31/01/1976,1,,Hombre,Balada
Quisiera decir tu nombre,José Luis Perales,7/02/1976,3,,Hombre,Balada
Sabato pomeriggio,Claudio Baglioni,28/02/1976,1,,Hombre,pop
Disco Stomp,Hamilton Bohannon,6/03/1976,1,,Hombre,disco
Propuesta,Roberto Carlos,13/03/1976,3,,Hombre,Balada
Júrame,Juan Camacho,3/04/1976,1,,Hombre,balada
Si no te amase,Junior,10/04/1976,2,,Hombre,pop
Esa eres tú,Danny Daniel,24/04/1976,4,,Hombre,balada
Adiós,Tony Landa,22/05/1976,2,,Hombre,balada
Échame a mí la culpa,Albert Hammond,5/06/1976,1,,Hombre,Pop
Getsemaní,Camilo Sesto,12/06/1976,1,,Hombre,Balada
"Háblame del mar, marinero",Marisol,19/06/1976,1,,Mujer,balada
El sur,Los Puntos,26/06/1976,1,,Grupo,pop
Quién compra una canción,Sergio y Estíbaliz,3/07/1976,2,,Grupo,folk
Europa (Earth's cry Heaven's smile),Santana,17/07/1976,2,Instrumental,Grupo,Rock
Sólo tú,Camilo Sesto,31/07/1976,2,,Grupo,Balada
Tú y yo,Cecilia,14/08/1976,2,,Mujer,autor
Si tú fueras mi mujer,Lorenzo Santamaría,28/08/1976,1,,Hombre,balada
O tú o nada,Pablo Abraira,4/09/1976,2,,Hombre,balada
Fantasía,Juan Bau,18/09/1976,4,,Hombre,balada
Nada va a cambiar el mundo,Los Ángeles,16/10/1976,2,,Grupo,pop
"No, no hay nadie más",Ángela Carrasco,30/10/1976,1,,Mujer,Balada
Dónde están tus ojos negros,Santabárbara,6/11/1976,3,,Grupo,Pop
De amor ya no se muere,Gianni Bella,27/11/1976,1,,Mujer,balada
Don't Go Breaking My Heart,Elton John y Kiki Dee,4/12/1976,2,,Grupo,Pop rock
Libertad sin ira,Jarcha,18/12/1976,3,,Grupo,Folk
Terciopelo,Joan Baptista Humet,8/01/1977,1,,Hombre,autor
Memorias,Camilo Sesto,15/01/1977,4,,Hombre,Balada
Otro ocupa mi lugar,Miguel Gallardo,12/02/1977,5,,Hombre,Balada
If You Leave Me Now,Chicago,19/03/1977,1,,Grupo,Rock
Y te amaré,Ana & Johnny,26/03/1977,3,,Grupo,balada
Ella,Luis Fierro,16/04/1977,1,,Hombre,balada
Si...,José Luis Perales,23/04/1977,2,,Hombre,Balada
Gavilán o paloma,Pablo Abraira,7/05/1977,4,,Hombre,balada
Sólo era un niño,Mocedades,4/06/1977,1,,Grupo,Folk
Linda,Miguel Bosé,11/06/1977,3,,Hombre,Pop latino
Morir al lado de mi amor,Demis Roussos,2/07/1977,1,,Hombre,Pop
Eres toda una mujer,Albert Hammond,9/07/1977,2,,Hombre,Pop
Mi buen amor,Camilo Sesto,23/07/1977,7,,Hombre,Balada
Te quiero con locura,Mari Trini,10/09/1977,2,,Mujer,balada
Desnúdate,Miguel Gallardo,24/09/1977,1,,Hombre,Balada
Cisne cuello negro,Basilio,1/10/1977,4,,Hombre,balada
Rockollection (part 1),Laurent Voulzy,29/10/1977,3,,Hombre,Pop rock
Credo,Elsa Baeza,19/11/1977,3,,Mujer,pop
Give a Little Bit,Supertramp,10/12/1977,3,,Grupo,Rock
Bellísimo,Gonzalo,31/12/1977,3,,Hombre,pop
Terminado,Albert Hammond,21/01/1978,2,,Hombre,Pop
Si me amaras,Albert Hammond,4/02/1978,1,,Hombre,Pop
Llamarada,Lorenzo Santamaría,11/02/1978,3,,Hombre,balada
Y no,Camilo Sesto,4/03/1978,4,,Hombre,Balada
Abrázame y quiéreme,Paolo Salvatore,1/04/1978,1,,Hombre,Pop
Niña,Sandro Giacobbe,8/04/1978,1,,Hombre,balada
Amor mío ¿Cómo estás?,Miguel Bosé,15/04/1978,3,,Hombre,Pop latino
Stayin' Alive,Bee Gees,6/05/1978,1,,Grupo,Pop
Cara de gitana,Daniel Magal,13/05/1978,2,,Hombre,autor
Necesito un trago,Tequila,27/05/1978,1,,Grupo,Rock
Fue tan poco tu cariño,Rocío Dúrcal,3/06/1978,1,,Mujer,Ranchera
Gorrión,Miguel Gallardo,10/06/1978,3,,Hombre,Balada
El boxeador,Laredo,1/07/1978,1,,Grupo,pop
Sólo tú,Matia Bazar,8/07/1978,2,,Grupo,pop
Anna,Miguel Bosé,22/07/1978,1,,Hombre,Pop latino
Night Fever,Bee Gees,29/07/1978,2,,Grupo,Pop
Rivers Of Babylon,Boney M.,12/08/1978,4,,Hombre,Disco
¿Quién te cantará?,Mocedades,9/09/1978,1,,Grupo,Folk
Esperanzas,Pecos,16/09/1978,4,,Grupo,Balada
Espinita,Albert Hammond,14/10/1978,1,,Hombre,Pop
Got A Feeling,Patrick Juvet,21/10/1978,1,,Hombre,disco
FM (No Static at All),Steely Dan,28/10/1978,2,,Hombre,jazz rock
You're the One that I Want,John Travolta & Olivia Newton-John,11/11/1978,3,,Colaboración,pop
Tú,Umberto Tozzi,2/12/1978,2,,Hombre,Pop-rock
Rasputin,Boney M.,16/12/1978,1,,Grupo,Disco
Terciopelo y fuego,Falcons,23/12/1978,5,,Grupo,R&B
It's Downtown,New Trolls,27/01/1979,1,,Grupo,rock
One Chain (Don't make no prison),Santana,3/02/1979,1,,Hombre,Rock
Acordes,Pecos,10/02/1979,1,,Grupo,Balada
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,17/02/1979,2,,Grupo,Pop
Y.M.C.A.,Village People,3/03/1979,2,,Grupo,disco
El amor de mi vida,Camilo Sesto,17/03/1979,2,,Hombre,Balada
Da Ya Think I'm Sexy?,Rod Stewart,31/03/1979,1,,Hombre,Rock
Too Much Heaven,Bee Gees,7/04/1979,8,,Grupo,Pop
Una historia,Triana,2/06/1979,3,,Grupo,Flamenco
Tragedy,Bee Gees,23/06/1979,1,,Grupo,Pop
Chiquitita,ABBA,30/06/1979,1,,Grupo,Pop
Born to be Alive,Patrick Hernández,7/07/1979,2,,Hombre,disco
Quién será,Camilo Sesto,21/07/1979,2,,Hombre,Balada
"Super, Superman",Miguel Bosé,4/08/1979,2,,Hombre,Pop latino
Gloria,Umberto Tozzi,18/08/1979,2,,Hombre,Pop-rock
Soy un corazón tendido al sol,Víctor Manuel,1/09/1979,2,,Hombre,Pop
El amor,José Luis Perales,15/09/1979,3,,Hombre,Balada
No lastimes más,Rocío Dúrcal,6/10/1979,2,,Mujer,Ranchera
Lady Writer,Dire Straits,20/10/1979,1,,Grupo,Rock
Agapimú,Ana Belén,27/10/1979,3,,Mujer,Bolero
Me vuelvo loco,Tequila,17/11/1979,4,,Grupo,Rock
Sin amor,Iván,15/12/1979,3,,Hombre,pop
Man Gave Name to all the Animals,Bob Dylan,5/01/1980,1,,Hombre,Rock
La culpa ha sido mía,Camilo Sesto,12/01/1980,2,,Hombre,Balada
Háblame de ti,Pecos,26/01/1980,4,,Grupo,Balada
Como yo te amo,Rocío Jurado,23/02/1980,1,,Mujer,Flamenco
Bailad,Red de San Luis,1/03/1980,4,,Grupo,pop
¿Quién puso más?,Víctor Manuel,29/03/1980,1,,Hombre,Pop
Memorize Your Number,Leif Garrett,5/04/1980,1,,Hombre,Pop-rock
Aire,Pedro Marín,12/04/1980,2,,Hombre,pop
Desde mi libertad,Ana Belén,26/04/1980,1,,Mujer,Bolero
Desire,Andy Gibb,3/05/1980,4,,Hombre,Disco
Morir de amor,Miguel Bosé,31/05/1980,3,,Hombre,Pop latino
Tu frialdad,Triana,21/06/1980,3,,Grupo,Flamenco
Ven,Paolo Salvatore,12/07/1980,1,,Hombre,Pop
Hey!,Julio Iglesias,19/07/1980,2,,Hombre,Pop latino
Santa Lucía,Miguel Ríos,2/08/1980,1,,Hombre,Rock
Dime que me quieres,Tequila,9/08/1980,5,,Grupo,Rock
Can't Stop the Music,Village People,13/09/1980,1,,Grupo,disco
Te amaré,Miguel Bosé,20/09/1980,3,,Hombre,Pop latino
Shandi,Kiss,11/10/1980,1,,Mujer,Metal
Emotional Rescue,The Rolling Stones,18/10/1980,2,,Grupo,Rock
My Turn to Love You,Eddy Grant,1/11/1980,1,,Hombre,reggae
Xanadu,Olivia Newton-John,8/11/1980,3,,Mujer,Pop
Lloras,Don McLean,29/11/1980,2,,Hombre,Folk
Woman In Love,Barbra Streisand,13/12/1980,1,,Mujer,Pop
Perdóname,Camilo Sesto,20/12/1980,1,,Hombre,Balada
Don't Stand so Close to Me,The Police,27/12/1980,1,,Grupo,New wave
Querer y perder,Dyango,3/01/1981,1,,Hombre,balada
(Just Like) Starting Over,John Lennon,10/01/1981,1,,Hombre,Pop
Qué será,Ana Belén,17/01/1981,1,,Mujer,Bolero
Señor,Pecos,24/01/1981,2,,Grupo,Balada
Lady,Kenny Rogers,7/02/1981,1,,Hombre,country
Another one Bites the Dust,Queen,14/02/1981,1,,Grupo,Rock
No llores por mí Argentina,Paloma San Basilio,21/02/1981,1,,Hombre,Lírica
Johnny and Mary,Robert Palmer,28/02/1981,4,,Hombre,Rock
Las chicas son guerreras,Coz,28/03/1981,1,,Grupo,Rock
No me hables,Juan Pardo,4/04/1981,1,,Hombre,Pop
Everybody's got to Learn Sometime,The Korgis,11/04/1981,1,,Grupo,New wave
Todo se derrumbó dentro de mí,Emmanuel,18/04/1981,1,,Hombre,pop latino
Te quiero tanto,Iván,25/04/1981,1,,Hombre,pop
The Best of Times,Styx,2/05/1981,1,,Hombre,rock
Te quiero,José Luis Perales,9/05/1981,2,,Hombre,Balada
Amar es algo más,"José Luis Rodríguez ""El Puma""",23/05/1981,1,,Hombre,Balada
Rapture,Blondie,30/05/1981,1,,Grupo,New wave
I Surrender,Rainbow,6/06/1981,1,,Grupo,Heavy metal
Caperucita feroz,Orquesta Mondragón,13/06/1981,1,,Grupo,Pop-rock
Something 'Bout you Baby I Like,Status Quo,20/06/1981,1,,Grupo,Rock
Looking For Clues,Robert Palmer,27/06/1981,1,,Hombre,Rock
Stars on 45 (part 1),Stars on 45,4/07/1981,2,,Mujer,Disco
Jugando a vivir,Miguel Ríos,18/07/1981,1,,Hombre,Rock
Una noche de amor desesperada,Triana,25/07/1981,1,,Grupo,Flamenco
De niña a mujer,Julio Iglesias,1/08/1981,1,,Hombre,Pop latino
Hands Up (Give Me Your Heart),Ottawan,8/08/1981,1,,Grupo,Disco
No hago otra cosa que pensar en ti,Joan Manuel Serrat,15/08/1981,3,,Hombre,Trova
Bette Davis Eyes,Kim Carnes,5/09/1981,1,,Hombre,country
Pavo real,"José Luis Rodríguez ""El Puma""",12/09/1981,1,,Hombre,Balada
Ma quale idea,Pino D'Angiò,19/09/1981,2,,Hombre,italodisco
"Tú, sólo tú",Bertín Osborne,3/10/1981,2,,Hombre,Balada
El baile de los pajaritos,María Jesús y su acordeón,17/10/1981,1,,Mujer,pasodoble
Stars on 45 (part 2),Stars on 45,24/10/1981,1,,Mujer,Disco
Start me Up,The Rolling Stones,31/10/1981,1,,Grupo,Rock
Hold On Tight,Electric Light Orchestra,7/11/1981,1,,Grupo,pop
Salta!!,Tequila,14/11/1981,2,,Grupo,Rock
Márchate ya,Miguel Bosé,28/11/1981,2,,Hombre,Pop latino
Amor no me ignores,Camilo Sesto,12/12/1981,1,,Hombre,Balada
Juntos,Paloma San Basilio,19/12/1981,1,,Mujer,Lírica
Champú de huevo,Tino Casal,26/12/1981,1,,Hombre,Pop
No puedo enamorarme de ti,Antonio Flores,2/01/1982,1,,Hombre,Rock
Va a estallar el obús,Obús,9/01/1982,1,,Grupo,Metal
We Kill the World (Don't Kill the World),Boney M.,16/01/1982,1,,Grupo,Disco
Latino,Francisco,23/01/1982,1,,Hombre,pop
Tonight I'm Yours (Don't Hurt Me),Rod Stewart,30/01/1982,1,,Hombre,Rock
Si la vieras con mis ojos,Dyango,6/02/1982,1,,Hombre,balada
Que no lastimen tu corazón,Pecos,13/02/1982,1,,Grupo,Balada
(Out Here) On my Own,Nikka Costa,20/02/1982,1,,Mujer,funk
Souvenir,OMD,27/02/1982,1,,Grupo,electronic
Como una ola,Rocío Jurado,6/03/1982,2,,Mujer,Flamenco
Frente al amor,María Jiménez,20/03/1982,1,,Mujer,Rumba
Some Folks (Come Bring Your Love to Me),Street Boys,27/03/1982,1,,Grupo,pop
One of Us,ABBA,3/04/1982,1,,Grupo,Pop
La ladrona,Paolo Salvatore,10/04/1982,1,,Hombre,Pop
Los rockeros van al infierno,Barón Rojo,17/04/1982,2,,Grupo,Metal
A la porra la sartén,Carmín,1/05/1982,1,,Grupo,Tecno pop
Bésame tonta,Orquesta Mondragón,8/05/1982,1,,Grupo,Pop-rock
Me colé en una fiesta,Mecano,15/05/1982,1,,Grupo,Pop
Él,Lucía,22/05/1982,1,,Mujer,Balada
Bienvenidos,Miguel Ríos,29/05/1982,1,,Hombre,Rock
Ebony and Ivory,Paul McCartney con Stevie Wonder,5/06/1982,1,,Grupo,Pop-Rock
Bailando,Alaska y los Pegamoides,12/06/1982,1,,Mujer,Pop-Dance
Me estoy volviendo loco,Azul y Negro,19/06/1982,1,,Grupo,Tecno
Qué dolor,Raffaella Carra,26/06/1982,1,,Mujer,Pop latino
More than this,Roxy Music,3/07/1982,1,,Mujer,rock
Tú y yo,Emmanuel,10/07/1982,1,,Hombre,pop latino
Un toque de locura,"José Luis Rodríguez ""El Puma""",17/07/1982,1,,Hombre,Balada
Just an Illusion,Imagination,24/07/1982,1,,Grupo,Disco
Las Leandras,Luis Cobos,31/07/1982,1,,Hombre,Música clásica
¡Que tire la toalla!,Leño,7/08/1982,1,,Hombre,rock
Felicidad,Al Bano y Romina Power,14/08/1982,1,,Grupo,pop
Dos enamorados,Pedro Marín,21/08/1982,2,,Hombre,pop
Hay que ver,Juan Pardo,4/09/1982,1,,Hombre,Pop
Maquillaje,Mecano,11/09/1982,1,,Grupo,Pop
No sucederá más,Claudia Mori,18/09/1982,1,,Grupo,Pop
Eye of the Tiger,Survivor,25/09/1982,1,,Mujer,rock
Love is in Control (Finger on the Trigger),Donna Summer,2/10/1982,1,,Mujer,Disco
El blues del autobús,Miguel Ríos,9/10/1982,1,,Hombre,Rock
Dueño de nada,"José Luis Rodríguez ""El Puma""",16/10/1982,1,,Hombre,Balada
Abrázame,Bertín Osborne,23/10/1982,1,,Hombre,Balada
Por amor,José Luis Perales,30/10/1982,1,,Hombre,Balada
No me vuelvo a enamorar,Julio Iglesias,6/11/1982,1,,Hombre,Pop latino
Can't Take My Eyes Off You,Boys Town Gang,13/11/1982,1,,Hombre,disco
No aguanto más,Luz Casal,20/11/1982,1,,Mujer,Balada
Amor de hombre,Mocedades,27/11/1982,2,,Grupo,Folk
It's Raining Again,Supertramp,11/12/1982,1,,Grupo,Rock
Music and Lights,Imagination,18/12/1982,1,,Grupo,Disco
Bravo muchachos,Miguel Bosé,25/12/1982,1,,Hombre,Pop latino
Tu cadena,Francisco,1/01/1983,1,,Hombre,balada
Devuélveme mi libertad,Camilo Sesto,8/01/1983,1,,Hombre,Balada
Pass the Dutchie,Musical Youth,15/01/1983,1,,Grupo,Reggae
"Y, ¿cómo es él?",José Luis Perales,22/01/1983,1,,Hombre,Balada
The Girl is Mine,Michael Jackson y Paul McCartney,29/01/1983,1,,Colaboración,Pop
The Night,Azul y Negro,5/02/1983,1,,Grupo,Tecno
Mirror Man (12'' extended version),The Human League,12/02/1983,1,,Grupo,new wave
Eres tú,Luz Casal,19/02/1983,2,,Mujer,Balada
Lies,Thompson Twins,5/03/1983,1,,Grupo,new wave
El barón del bidé,La Trinca,12/03/1983,1,,Grupo,nova canco
All Right,Christopher Cross,19/03/1983,2,,Hombre,pop rock
Desire,Future World Orchestra,2/04/1983,1,,Grupo,Electrónica
Embrujada,Tino Casal,9/04/1983,1,,Hombre,Pop
You Are a Danger,Gary Low,16/04/1983,1,,Hombre,Italo disco
Por volverte a ver,Dyango,23/04/1983,1,,Hombre,Balada
Genetic engineering,O.M.D.,30/04/1983,1,,Grupo,New wave
Un paso adelante,Emilio José,7/05/1983,1,,Hombre,autor
La noche no es para mí,Video,14/05/1983,1,,Grupo,Tecno pop
Let's Dance,David Bowie,21/05/1983,2,,Hombre,Rock
Fame,Irene Cara,4/06/1983,1,,Mujer,Disco
Baila conmigo,Rita Lee y Roberto,11/06/1983,1,,Colaboración,rock
No tengo tiempo (con los dedos de una mano),Azul y Negro,18/06/1983,1,,Grupo,Tecno
"Mi mundo, tú",Camilo Sesto,25/06/1983,1,,Hombre,Balada
Last Night a DJ Saved my Life,Indeep,2/07/1983,1,,Grupo,New wave
El rock de una noche de verano,Miguel Ríos,9/07/1983,2,,Hombre,Rock
Volveré,Chiquetete,23/07/1983,1,,Hombre,Flamenco
Moonlight Shadow,Mike Oldfield,30/07/1983,1,,Hombre,Pop-rock
Baby Jane,Rod Stewart,6/08/1983,1,,Hombre,Rock
Every breath you take,The Police,13/08/1983,1,,Grupo,New wave
