Nombre,Propiedades,Lugar,LAT,LONG,Descripción 1,Descripción 2,Tipo,Estado de venta,Cantidad original,€,Comprador,,Link,Link venta,Info comprador
Boutique Hotels,Hotel Xenia Tsagarada,Zagora,39.390335,23.182898,Hotel,,Terrenos e inmuebles,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20140717-rfp-valuer-boutique-hotels-en_0.pdf,,
Boutique Hotels,Hotel Xenia Andros,Andros,35.49713,23.583824,Hotel,,Terrenos e inmuebles,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20140717-rfp-valuer-boutique-hotels-en_0.pdf,,
Boutique Hotels,Hotel Xenia Vytina,Gortynia,37.669195,22.181906,Hotel,,Terrenos e inmuebles,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20140717-rfp-valuer-boutique-hotels-en_0.pdf,,
Boutique Hotels,Hotel Xenia Komotini,Komotini,41.113185,25.41073,Hotel,,Terrenos e inmuebles,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20140717-rfp-valuer-boutique-hotels-en_0.pdf,,
Boutique Hotels,Hotel Xenia Platamonas,Dion,39.991081,22.626215,Hotel,,Terrenos e inmuebles,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20140717-rfp-valuer-boutique-hotels-en_0.pdf,,
Boutique Hotels,Hotel Xenia Edessa,Edessa,41.121094,25.400993,Hotel,,Terrenos e inmuebles,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20140717-rfp-valuer-boutique-hotels-en_0.pdf,,
Boutique Hotels,Hotel Xenia Thasos,Thasos,40.77665,24.700866,Hotel,,Terrenos e inmuebles,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20140717-rfp-valuer-boutique-hotels-en_0.pdf,,
Boutique Hotels,Hotel Xenia Kozani,Kozani,40.304883,21.782421,Hotel,,Terrenos e inmuebles,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20140717-rfp-valuer-boutique-hotels-en_0.pdf,,
Boutique Hotels,Hotel Agia Eleousa Sanatorium,Eleousa,36.274656,28.026047,Hotel,,Terrenos e inmuebles,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20140717-rfp-valuer-boutique-hotels-en_0.pdf,,
Boutique Hotels,Hotel Mana Sanatorium,Gortynia,37.706411,22.096134,Hotel,,Terrenos e inmuebles,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20140717-rfp-valuer-boutique-hotels-en_0.pdf,,
Boutique Hotels,Hotel Villa de Vecchi,Rodas,36.395159,28.226437,Hotel,,Terrenos e inmuebles,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20140717-rfp-valuer-boutique-hotels-en_0.pdf,,
Camping & Xenia Paliouri,Propiedad Camping & Xenia Paliouri,Rodas,39.983567,23.603783,"The Paliouri village is found in the elevations of Kassandra, at a distance of 3 km from the sea and altitude of 120 m. Xenia and the Paliouri Camping are loceted at Paliouri’s beach.",e 28 State buildings –,Terrenos e inmuebles,Completado,261.310.000,261.310.000,Pangaea REIC y Eurobank Properties REIC,,http://www.hradf.com/sites/default/files/attachments/20131019-press-release-hradf-en2.pdf,,"Panagea REIC es un fondo que ha sido comprado al Banco de Grecia por Invel Real Estate Partners (http://www.invelrealestate.com/wp-content/uploads/2014/01/PANGAEA-closing-FINAL-020113.pdf) en 2014. Invel es de origen griega, están en Londres. Real Estate Company con sede en Atenas"
Castello Bibelli,Propiedad Castello Bibelli,Castello Bibelli,39.701447,19.83167,"Castello Bibelli is a property of significant historical and cultural value. The main building “CASTELLO” of 1.968 m2 built area, is of neo-Gothic style, made from stone with tile roofs and its distinctive feature are the two turrets and patio.","The main building “CASTELLO” of 1.968 m2 built area, is of neo-Gothic style, made from stone with tile roofs and its distinctive feature are the two turrets and patio. The property also includes other four auxiliary buildings, with a total built area of 457 m2",Terrenos e inmuebles,Prevista,,,,,http://www.hradf.com/en/portfolio/castello-bibelli,,
Cataloguing,Miles de propiedades a la venta en toda Grecia,Grecia,,,The Hellenic Republic Asset Development Fund has launched a very ambitious project for the exploitation the Greek public sector’s private properties.,"The Hellenic Republic Asset Development Fund has launched a very ambitious project for the exploitation the Greek public sector’s private properties. The scope encompasses more than 80.000 properties of the public sector that are currently managed/owned by ETAD, DEKO and by various Ministries. Properties will be assessed and selected for exploitation on the grounds of general criteria (Free Properties, Urban Properties, Non-urban Properties) and commercial factors (size, location, basic legal commitments, potential property uses).",Terrenos e inmuebles,Prevista,,,,,http://www.hradf.com/en/portfolio/properties,,
e-Auction,Edificio en el centro de Atenas,Atenas,37.979579,23.739455,"HRADF is promoting for sale via the innovative process of electronic E-Auction, 11 small to medium size properties.",,Terrenos e inmuebles,Completado,1.211.000,1.211.000,,,http://www.hradf.com/sites/default/files/attachments/20130919-press-release-eauction-en1.pdf,,
e-Auction,Terrenos en el norte de Irakleia,Irakleia,40.345262,23.016216,"HRADF is promoting for sale via the innovative process of electronic E-Auction, 11 small to medium size properties.",,Terrenos e inmuebles,Completado,2.000.000,2.000.000,,,http://www.hradf.com/sites/default/files/attachments/20130919-press-release-eauction-en1.pdf,,
e-Auction II,Terreno urbano en Atenas,"Amaroussion, Atenas",38.043452,23.813183,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic E-Auction.",,Terrenos e inmuebles,Completado,1.800.000,1.800.000,,,http://www.hradf.com/sites/default/files/attachments/20140320-press-release-en.pdf,,
e-Auction III,Inmueble,Atenas,37.986344,23.746636,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic e-Auction.",,Terrenos e inmuebles,Completado,50.000,50.000,precio partida,,,,
e-Auction III,Inmuebles en Andritsena,Andritsena,37.48304,21.904649,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic e-Auction.",,Terrenos e inmuebles,Completado,10.000,10.000,precio partida,,,,
e-Auction III,Terrenos de 12.000 m2,Monemvassia,36.687944,23.055952,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic e-Auction.",,Terrenos e inmuebles,Completado,50.000,50.000,precio partida,,,,
e-Auction III,Conjunto de edificios,Atenas,37.864962,23.757623,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic e-Auction.",,Terrenos e inmuebles,Completado,50.000,50.000,precio partida,,,,
e-Auction III,Terreno en Moschato,Moschato,37.950108,23.678997,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic e-Auction.",,Terrenos e inmuebles,Completado,50.000,50.000,precio partida,,,,
e-Auction III,Terreno de 38.000 m2 en Kala Nera,Kala Nera,39.305578,23.121253,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic e-Auction.",,Terrenos e inmuebles,Completado,50.000,50.000,precio partida,,,,
e-Auction III,Terreno con edificios en Kalamata,Kalamata,37.041775,22.111969,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic e-Auction.",,Terrenos e inmuebles,Completado,50.000,50.000,precio partida,,,,
e-Auction III,Terreno y edificio,Klitoria,37.896078,22.123948,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic e-Auction.",,Terrenos e inmuebles,Completado,10.000,10.000,precio partida,,,,
e-Auction III,Edificios en Limni,Limni,38.764551,23.319922,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic e-Auction.",,Terrenos e inmuebles,Completado,10.000,10.000,precio partida,,,,
e-Auction III,Cuatro inmuebles de 2.000 m2,Atenas,37.445062,25.326682,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic e-Auction.",,Terrenos e inmuebles,Completado,100.000,100.000,precio partida,,,,
e-Auction III,Solar de 85.000 m2 con vistas al mar,Paggaio,40.811674,24.174748,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic e-Auction.",,Terrenos e inmuebles,Completado,50.000,50.000,precio partida,,,,
e-Auction III,Terrenos y edficio en Paramithia,Paramithia,39.465425,20.515197,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic e-Auction.",,Terrenos e inmuebles,Completado,10.000,10.000,precio partida,,,,
e-Auction III,Tres edificios en el centro de Paramithia,Patra,38.240453,21.733418,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic e-Auction.",,Terrenos e inmuebles,Completado,50.000,50.000,precio partida,,,,
e-Auction III,Solar de 16.000 m2 con vistas al mar,Rio,38.306102,21.845251,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic e-Auction.",,Terrenos e inmuebles,Completado,50.000,50.000,precio partida,,,,
e-Auction IV,Tres edificios en Andritsena,Andritsena,37.483594,21.90496,"HRADF is promoting for sale a fourth set of real estate assets, via the innovative process of electronic E-Auction.",,Terrenos e inmuebles,Completado,10.000,10.000,,,,,
e-Auction IV,Solar e inmueble en Klitoria,Klitoria,37.896807,22.123605,"HRADF is promoting for sale a fourth set of real estate assets, via the innovative process of electronic E-Auction.",,Terrenos e inmuebles,Completado,10.000,10.000,,,,,
e-Auction IV,Dos edificios en Limni,Limni,38.765254,23.318871,"HRADF is promoting for sale a fourth set of real estate assets, via the innovative process of electronic E-Auction.",,Terrenos e inmuebles,Completado,10.000,10.000,,,,,
e-Auction IV,Solar e inmueble en Messini,Messini,37.049213,22.00761,"HRADF is promoting for sale a fourth set of real estate assets, via the innovative process of electronic E-Auction.",,Terrenos e inmuebles,Completado,50.000,50.000,,,,,
e-Auction IV,Solar e inmueble en Kato Nevrokopi,Kato Nevrokopi,41.341995,23.867295,"HRADF is promoting for sale a fourth set of real estate assets, via the innovative process of electronic E-Auction.",,Terrenos e inmuebles,Completado,10.000,10.000,,,,,
e-Auction IV,Solar e inmueble en Paramithia,Paramithia,39.465723,20.513137,"HRADF is promoting for sale a fourth set of real estate assets, via the innovative process of electronic E-Auction.",,Terrenos e inmuebles,Completado,10.000,10.000,,,,,
e-Auction IV,Tres edificios,Patra,38.224542,21.745091,"HRADF is promoting for sale a fourth set of real estate assets, via the innovative process of electronic E-Auction.",,Terrenos e inmuebles,Completado,50.000,50.000,,,,,
e-Auction V,Solar de 3.786 m2,Argos,37.621743,22.719559,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic E-Auction",,Terrenos e inmuebles,Prevista,10.000,10.000,,,,,
e-Auction V,Solar de 1.521 m2,Argos,37.634115,22.734322,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic E-Auction",,Terrenos e inmuebles,Prevista,10.000,10.000,,,,,
e-Auction V,Solar de 529 m2,Kalamata,37.037424,22.111034,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic E-Auction",,Terrenos e inmuebles,Prevista,50.000,50.000,,,,,
e-Auction V,Catorce solares,Lefkies Porou,38.149015,20.76592,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic E-Auction",,Terrenos e inmuebles,Prevista,20.000,20.000,,,,,
e-Auction V,Dos inmuebles,at the city of Kos in the Prefecture of Dodekanissa,36.875013,27.269367,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic E-Auction",,Terrenos e inmuebles,Prevista,20.000,20.000,,,,,
e-Auction V,Xiradaki Mansion,Stylida,38.955501,22.71934,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic E-Auction",,Terrenos e inmuebles,Prevista,10.000,10.000,,,,,
e-Auction V,"Dos solares de 1,284 m2",Stylida,38.955501,22.61934,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic E-Auction",,Terrenos e inmuebles,Prevista,10.000,10.000,,,,,
e-Auction V,"Diecisiete solares de 8,455 m2",Stylida,38.955501,22.62034,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic E-Auction",,Terrenos e inmuebles,Prevista,20.000,20.000,,,,,
e-Auction V,Cinco inmuebles en un solar,Tavros,37.966244,23.700317,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic E-Auction",,Terrenos e inmuebles,Prevista,50.000,50.000,,,,,
e-Auction V,"Solar de 16,788 m2",Charandros,38.233644,21.743117,"HRADF is promoting for sale a second set of real estate assets, via the innovative process of electronic E-Auction",,Terrenos e inmuebles,Prevista,10.000,10.000,,,,,
Ermioni,Propiedad en Ermioni,Thermisia,37.385776,23.247288,"A unique opportunity for investors who wish to take advantage of this prime, well-located, property.",,Terrenos e inmuebles,Prevista,,,,,,,
Former U.S. Base in Heraklion,Propiedades en el antigua base estadounidense en Heraklion,Gournes Hersonissos,35.330383,25.140832,"The properties offer unique opportunities for urban regeneration and recovery, with creative use of the coastal area as well, for the development of a landmark area with national importance and international visibility.",,Terrenos e inmuebles,En proceso,,,,,,,
Hellenic Football Prognostic Organisation VLT Licences,Licencia,,,,,"The License will have 10 years duration starting 12 months following the issuance by the Hellenic Gaming Commission of the VLT’s Regulation and OPAP will be responsible for determining the pricing policy in all 35,000 VLTs. In return OPAP agreed to pay a total fee of €560m, out of which €474m was paid upon execution of the VLT Concession Agreement and €86m will be paid in 24 months after the license is granted. This implies a price of €16,000 per VLT machine.",Empresas,Completado,,,,,,,
Hellenic Football Prognostics Organisation,Licencia,,,,Hellenic Football Prognostics Organisation S.A. (“OPAP”) was established in 1958 as a private legal entity and was converted into a Societe Anonyme in 1999.,,Empresas,Completado,712.000.000,712.000.000,EMMA DELTA HELLENIC HOLDINGS LIMITED a,,,,"Grupo checo de inversión. Ha comprado el 33%. El 65% de OPAP es capital flotante, el restante es del Baupost Group, grupo de inversión que pertenece a Seth Klarman, magnate norteamericano (dona a los republicanos) "
Hellenic Petroleum,Compañía petrolera Hellenic Petroleum,Atenas,38.040861,23.805769,"HELPE is the leading oil refiner and distributor in Greece and a significant player in the Southeast European market. It operates three refineries in southern and northern Greece which cover approximately 2/3 of the country’s refining capacity, and a refinery in FYROM.",,Empresas,Prevista,,,,,,,
Hellenic Post,Servicio postal griego,Atenas,37.982421,23.728153,"Hellenic Post (ELTA) is the leading postal service provider in the Greek market and a member of the Universal Postal Union. Through its wide network of 750 outlets, it provides services including, letter post, parcel service, nationwide next-day delivery, express mail, door-to-door service, bill payment, as well as financial and insurance services. The Hellenic Republic holds 90% of the shares while the other 10% is owned by the Hellenic Post Bank (TT).",,Empresas,Prevista,,,,,,,
Hellinikon,Compañía que gestiona los terrenos del antiguo aeropuerto de Hellinikon,Atenas,37.897767,23.732856,"By decision of the Interministerial Committee for Restructuring and Privatisation, the shares of Hellinikon SA were transferred to Hellenic Republic Asset Development Fund (HRADF). HRADF is charged with designing and carrying out the site development process.",,Terrenos e inmuebles,Completado,915.000.000,915.000.000,Lamda Development,,http://www.hradf.com/sites/default/files/attachments/20140331-press-release-hellinikon-en.pdf,,"Es de Spiros Latsis, segundo hombre más rico de Grecia (http://www.theguardian.com/world/2015/jul/03/greek-shipping-magnates-economy-ordinary-people-suffer)"
International Broadcasting Center,International Broadcasting Center,Atenas,38.033669,23.792649,The suggested property development includes the existing shopping mall and additional uses for to its non-occupied area.,The property was built to accommodate the Radio-television International Center (IBC) in order to cover the 2004 Olympic Games. Once the Olympic Games were over a major part of the IBC building was converted into a shopping center. Another part was intended to be used as the Olympic Games Museum.,Terrenos e inmuebles,Completado,,,,,,,
Kassandra Golf,Campo de golf Kassandra,Calcídica,40.137526, 23.322015,"Chalkidiki is one of the most popular summer tourism destinations of Greeks, especially for those who live in the Northern part of Greece.","The proposed development concept includes a 18-hole golf course of international standards with additional training areas and luxury hotel and vacation homes facilities. The development of the property should be harmoniously integrated in the environment and the existing ecosystem, highlighting the unique natural beauty of the surrounding area.",Terrenos e inmuebles,En proceso,,,,,,,
"Kassiopi, Corfu",Propiedad rodeada de gran belleza natural,"Kassiopi, Corfu",39.784639,19.924796,,,Terrenos e inmuebles,Completado,100.000.000,100.000.000,NCH Capital,,,,"Grupo de inversión de la familia Rohr, una de las principales familias judías norteamericanas"
Marinas of Alimos,Xiradaki Mansion,Volos,37.915005,23.704837,The Hellenic Republic is in the process of evaluating the most appropriate method for exploiting management and other rights in ports and marinas,,Infraestructura,En proceso,,,,,http://www.hradf.com/en/portfolio/small-ports-alimos-hydra-poros-epidavros,,
Hydra,Puerto de Hydra,Hydra,37.349738,23.46548,The Hellenic Republic is in the process of evaluating the most appropriate method for exploiting management and other rights in ports and marinas,,Infraestructura,En proceso,,,,,http://www.hradf.com/en/portfolio/small-ports-alimos-hydra-poros-epidavros,,
Poros,Puerto de Poros,Poros,38.147504,20.78303,The Hellenic Republic is in the process of evaluating the most appropriate method for exploiting management and other rights in ports and marinas,,Infraestructura,En proceso,,,,,http://www.hradf.com/en/portfolio/small-ports-alimos-hydra-poros-epidavros,,
Epidavros,Puerto de Epidavros,Epidavros,37.640594,23.167111,The Hellenic Republic is in the process of evaluating the most appropriate method for exploiting management and other rights in ports and marinas,,Infraestructura,En proceso,,,,,http://www.hradf.com/en/portfolio/small-ports-alimos-hydra-poros-epidavros,,
Marinas of Chios,Puerto de Marinas of Chios,Marinas of Chios,38.370649,26.136715,The Hellenic Republic is in the process of evaluating the most appropriate method for exploiting management and other rights in ports and marinas,,Infraestructura,En proceso,,,,,http://www.hradf.com/en/portfolio/small-ports-chios-pylos,,
Pylos,Puerto de Pylos,Pylos,36.917039,21.698682,The Hellenic Republic is in the process of evaluating the most appropriate method for exploiting management and other rights in ports and marinas,,Infraestructura,En proceso,,,,,http://www.hradf.com/en/portfolio/small-ports-chios-pylos,,
Motorway Supporting Areas (in progress),Área de soporte de autopista en Kymi,Atenas,38.052751,23.780636,Τhe transaction relates to the sale of the portfolio of 5 expropriated on behalf of HR real estates which are defined as Logistics Facilities Area of Attiki Odos as follows: (5) L.F.A. of Kymi Interchange,,Terrenos e inmuebles,En proceso,,,,,http://www.hradf.com/en/portfolio/motorway-supporting-areas-progress,,
Motorway Supporting Areas (in progress),Área de soporte de autopista cercana a la estación de tren Neratziotissa,Atenas,38.052751,23.792429,Τhe transaction relates to the sale of the portfolio of 5 expropriated on behalf of HR real estates which are defined as Logistics Facilities Area of Attiki Odos as follows: (5) L.F.A. of Kymi Interchange,,Terrenos e inmuebles,En proceso,,,,,http://www.hradf.com/en/portfolio/motorway-supporting-areas-progress,,
Motorway Supporting Areas (in progress),Área de soporte de autopista en Avenida Kifisas,Atenas,38.051391,23.809517,Τhe transaction relates to the sale of the portfolio of 5 expropriated on behalf of HR real estates which are defined as Logistics Facilities Area of Attiki Odos as follows: (5) L.F.A. of Kymi Interchange,,Terrenos e inmuebles,En proceso,,,,,http://www.hradf.com/en/portfolio/motorway-supporting-areas-progress,,
Motorway Supporting Areas (in progress),Área de soporte de autopista en D.Plakentias,"Chalandri, Atenas",38.020383,23.790517,Τhe transaction relates to the sale of the portfolio of 5 expropriated on behalf of HR real estates which are defined as Logistics Facilities Area of Attiki Odos as follows: (5) L.F.A. of Kymi Interchange,,Terrenos e inmuebles,En proceso,,,,,http://www.hradf.com/en/portfolio/motorway-supporting-areas-progress,,
Motorway Supporting Areas (in progress),Área de soporte de autopista en Kantza,"Kanza, Pallini",37.991341,23.866689,Τhe transaction relates to the sale of the portfolio of 5 expropriated on behalf of HR real estates which are defined as Logistics Facilities Area of Attiki Odos as follows: (5) L.F.A. of Kymi Interchange,,Terrenos e inmuebles,En proceso,,,,,http://www.hradf.com/en/portfolio/motorway-supporting-areas-progress,,
Motorway Supporting Areas (rolling ahead),Área de soporte de autopista en Pallini,"Pallini, Atica",38.001749,23.8842,Τhe transaction relates to the sale of the portfolio of 6 expropriated on behalf of the HR real estates,,Terrenos e inmuebles,Prevista,,,,,http://www.hradf.com/en/portfolio/motorway-supporting-areas-rolling-ahead,,
Motorway Supporting Areas (rolling ahead),Área de soporte de autopista en Paiania,"Paiania, Atica",37.955061,23.852318,Τhe transaction relates to the sale of the portfolio of 6 expropriated on behalf of the HR real estates,,Terrenos e inmuebles,Prevista,,,,,http://www.hradf.com/en/portfolio/motorway-supporting-areas-rolling-ahead,,
Motorway Supporting Areas (rolling ahead),Área de soporte de autopista en Karela,"Paiania, Atica",37.955298,23.854428,Τhe transaction relates to the sale of the portfolio of 6 expropriated on behalf of the HR real estates,,Terrenos e inmuebles,Prevista,,,,,http://www.hradf.com/en/portfolio/motorway-supporting-areas-rolling-ahead,,
Motorway Supporting Areas (rolling ahead),Área de soporte de autopista en Koropi,"Spata-Artemida, Atica",37.993654,23.928908,Τhe transaction relates to the sale of the portfolio of 6 expropriated on behalf of the HR real estates,,Terrenos e inmuebles,Prevista,,,,,http://www.hradf.com/en/portfolio/motorway-supporting-areas-rolling-ahead,,
Motorway Supporting Areas (rolling ahead),Área de soporte de autopista en Gerakas,"Gerakas, Atica",38.010705,23.847048,Τhe transaction relates to the sale of the portfolio of 6 expropriated on behalf of the HR real estates,,Terrenos e inmuebles,Prevista,,,,,http://www.hradf.com/en/portfolio/motorway-supporting-areas-rolling-ahead,,
Motorway Supporting Areas (rolling ahead),Área de soporte de autopista en Avenida Pentelis,,38.014575,23.817972,Τhe transaction relates to the sale of the portfolio of 6 expropriated on behalf of the HR real estates,,Terrenos e inmuebles,Prevista,,,,,http://www.hradf.com/en/portfolio/motorway-supporting-areas-rolling-ahead,,
Mutual Horsebetting License,Licencia de apuestas en caballos,Grecia,,,ODIE is a Greek horse racing company with exclusive rights on the mutual betting at racetracks.,,Empresas,Completado,40.501.000,40.501.000,Horse Races S.A,,,,"Es subsidiaria de OPAP, la empresa de Lotería del Estado. El contrato es para ""granting of the exclusive right to organize and conduct mutual betting on horse races in Greece for 20 years"""
Nea Iraklitsa,Propiedad Nea Iraklitsa,Tesalónica,40.865555,24.316302,"Nea Iraklitsa is a charming settlement with a beautiful 2 km coast and a picturesque dock, located 140 km from Thessaloniki and 16 km from Kavala, directly accessible by the Egnatia Motorway","The property is situated on the most privileged beachfront area of Nea Iraklitsa The size of the property is around 150,000 m2 with a coastline border of approximately 600m ",Terrenos e inmuebles,Prevista,,,,,http://www.hradf.com/en/portfolio/nea-iraklitsa,,
"OLP, OLTH, 10 Regional Ports",Puerto OLP,Atenas,37.937674,23.635905,,,Infraestructura,En proceso,,,,,http://www.hradf.com/en/portfolio/ports,,
"OLP, OLTH, 10 Regional Ports",Puerto OLTH,Tesalónica,40.631815,22.935275,,,Infraestructura,En proceso,,,,,http://www.hradf.com/en/portfolio/ports,,
"OLP, OLTH, 10 Regional Ports",Puerto Patras,Patras,38.150985,21.425529,,,Infraestructura,En proceso,,,,,http://www.hradf.com/en/portfolio/ports,,
"OLP, OLTH, 10 Regional Ports",Puerto Rafina,Rafina,38.021319,24.009264,,,Infraestructura,En proceso,,,,,http://www.hradf.com/en/portfolio/ports,,
"OLP, OLTH, 10 Regional Ports",Puerto Kavala,Kavala,40.936555,24.4091,,,Infraestructura,En proceso,,,,,http://www.hradf.com/en/portfolio/ports,,
"OLP, OLTH, 10 Regional Ports",Puerto Alexandroupoli ,Alexandroupoli,40.844455,25.877335,,,Infraestructura,En proceso,,,,,http://www.hradf.com/en/portfolio/ports,,
"OLP, OLTH, 10 Regional Ports",Puerto Volos,Volos,39.358636,22.944667,,,Infraestructura,En proceso,,,,,http://www.hradf.com/en/portfolio/ports,,
"OLP, OLTH, 10 Regional Ports",Puerto Elefsina,Elefsina,38.035756,23.538651,,,Infraestructura,En proceso,,,,,http://www.hradf.com/en/portfolio/ports,,
"OLP, OLTH, 10 Regional Ports",Puerto Igoumenitsa,Igoumenitsa,39.505806,20.262605,,,Infraestructura,En proceso,,,,,http://www.hradf.com/en/portfolio/ports,,
"OLP, OLTH, 10 Regional Ports",Puerto Iraklion,Iraklion,35.342188,25.140485,,,Infraestructura,En proceso,,,,,http://www.hradf.com/en/portfolio/ports,,
"OLP, OLTH, 10 Regional Ports",Puerto Corfu,Corfu,39.613947,19.923611,,,Infraestructura,En proceso,,,,,http://www.hradf.com/en/portfolio/ports,,
