Canción,Intérprete(s),Fecha,Semanas en el top,Idioma,Tipo intérprete (H/M/grupo/colaboración),Estilo
I've Been Thinking About You,Londonbeat,22/12/1990,1,en,Grupo,Dance
I'm Your Baby Tonight,Whitney Houston,29/12/1990,1,en,Mujer,R&B
You Gotta Love Someone,Elton John,5/01/1991,1,en,Hombre,Pop rock
Have You Seen Her,MC Hammer,12/01/1991,1,en,Hombre,Rap
Entre dos tierras,Héroes del Silencio,19/01/1991,1,es,Grupo,Rock
Are You Dreaming?,Twenty 4 Seven,26/01/1991,1,en,Grupo,dance
Freedom! '90,George Michael,2/02/1991,1,en,Hombre,Pop
Rita,Hombres G,9/02/1991,1,es,Hombre,Pop rock
Sadeness,Enigma,16/02/1991,1,en,Grupo,electrónica
Ice Ice Baby,Vanilla Ice,23/02/1991,1,en,Grupo,Hip hop
Este payo (en castellano),Tam Tam Go,2/03/1991,1,,Grupo,Pop
Volver a casa,La Trampa,9/03/1991,1,es,Grupo,Rock
Innuendo,Queen,16/03/1991,1,en,Grupo,Rock
Ella es un volcán,La Unión,23/03/1991,1,es,Grupo,Pop-rock
Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,30/03/1991,1,en,Grupo,Hip hop
All the Man that I Need,Whitney Houston,6/04/1991,1,en,Mujer,R&B
Coming Out of the Dark,Gloria Estefan,13/04/1991,1,en,Mujer,Pop latino
Maldito duende,Héroes del Silencio,20/04/1991,1,es,Grupo,Rock
Pray,MC Hammer,27/04/1991,1,en,Grupo,hip hop
Cuidado con Paloma,Emilio Aragón,4/05/1991,1,es,Hombre,humor
Gente impresentable,Celtas Cortos,11/05/1991,1,es,Grupo,Folk
The Grease Megamix,John Travolta y Olivia Newton-John,18/05/1991,1,en,Colaboración,bso
Joyride,Roxette,25/05/1991,1,en,Mujer,Pop-rock
¡Cómo te mueves!,Modestia Aparte,1/06/1991,1,es,Grupo,pop-rock
All Together Now,The Farm,8/06/1991,1,en,Grupo,rock
Bailar pegados,Sergio Dalma,15/06/1991,1,es,Hombre,Balada
Llueve en mi corazón,Tennessee,22/06/1991,1,es,Grupo,Doo wop
Dámelo ya,La Unión,29/06/1991,1,es,Grupo,Pop-rock
Let there Be Love,Simple Minds,6/07/1991,1,en,Grupo,pop-rock
Chiquilla,Seguridad Social,13/07/1991,1,es,Grupo,Rock
Loco Vox,Loco Mía,20/07/1991,1,es,Grupo,tecno
El 7 de septiembre,Mecano,27/07/1991,1,es,Grupo,Pop
Palabras de fuego,La Frontera,3/08/1991,1,es,Grupo,rock
Despertar,Héroes del Silencio,10/08/1991,1,es,Grupo,Rock
The One and Only,Chesney Hawkes,17/08/1991,1,en,Hombre,pop
El amoto,No me pises que llevo chanclas,24/08/1991,1,,Grupo,pop-rock
Gypsy Woman (She's Homeless),Crystal Waters,31/08/1991,1,en,Grupo,house
Mundo de cristal,Duncan Dhu,7/09/1991,1,es,Grupo,Rock
Hombres,Loquillo y los Trogloditas,14/09/1991,1,es,Grupo,Rock
Shiny Happy People,R.E.M.,21/09/1991,1,en,Grupo,Rock
You Could Be Mine,Guns N' Roses,28/09/1991,1,en,Grupo,Metal
Galilea,Sergio Dalma,5/10/1991,1,es,Hombre,Balada
El peón del rey de negras,Mecano,12/10/1991,1,es,Grupo,Pop
(Everything I Do) I Do It for You,Bryan Adams,19/10/1991,1,en,Grupo,Rock
Calling Elvis,Dire Straits,26/10/1991,1,en,Grupo,Rock
Pisando fuerte,Alejandro Sanz,2/11/1991,1,es,Hombre,Pop Latino
Nos queda la noche,El Golpe,9/11/1991,1,es,Grupo,pop
Don't Cry,Guns N' Roses,16/11/1991,1,en,Grupo,Metal
La casa azul,Duncan Dhu,23/11/1991,1,es,Grupo,Rock
Naturaleza muerta,Mecano,30/11/1991,1,es,Grupo,Pop
Y no amanece,Los Secretos,7/12/1991,1,es,Grupo,Pop rock
Something Got Me Started,Simply Red,14/12/1991,1,en,Grupo,soul
La deuda de la mentira,Danza Invisible,21/12/1991,1,es,Grupo,new wave
Cuando duermes,Cómplices,28/12/1991,1,es,Grupo,Rock
Black or White,Michael Jackson,4/01/1992,1,en,Hombre,Pop
Licencia para bailar,La Década Prodigiosa,11/01/1992,1,es,Grupo,Pop
El ritmo del mar,Celtas Cortos,18/01/1992,1,es,Grupo,Folk
La vida todavía,Eros Ramazzotti,25/01/1992,1,es,Hombre,Pop latino
Can't Stop This Thing We Started,Bryan Adams,1/02/1992,1,en,Hombre,Rock
No Son of Mine,Genesis,8/02/1992,1,en,Grupo,rock
Un pedazo de cielo,Luz Casal,15/02/1992,1,es,Mujer,Balada
Se le apagó la luz,Alejandro Sanz,22/02/1992,1,es,Hombre,Pop Latino
Martika's Kitchen,Martika,29/02/1992,1,en,Mujer,Pop
Dalai Lama,Mecano,7/03/1992,1,es,Grupo,Pop
Verdad que sería estupendo,Cómplices,14/03/1992,1,es,Grupo,Rock
Stars,Simply Red,21/03/1992,1,en,Grupo,soul
Goodnight Girl,Wet Wet Wet,28/03/1992,1,en,Grupo,rock
Smells like Teen Spirit,Nirvana,4/04/1992,1,en,Grupo,Rock
Llovió,Presuntos Implicados,11/04/1992,1,es,Grupo,blues
20 de abril,Celtas Cortos,18/04/1992,1,es,Grupo,Folk
El canto de la sirena,Los Limones,25/04/1992,1,es,Grupo,Rock
Remember the Time,Michael Jackson,2/05/1992,1,en,Hombre,Pop
Bonito es,Los Sencillos,9/05/1992,1,es,Grupo,pop
Piensa en mí,Luz Casal,16/05/1992,1,es,Mujer,Balada
One,U2,23/05/1992,1,en,Grupo,Rock
Lo que fui es lo que soy,Alejandro Sanz,30/05/1992,1,es,Hombre,Pop Latino
Human Touch,Bruce Springsteen,6/06/1992,1,en,Grupo,Rock
Amor fugaz,La Unión,13/06/1992,1,es,Grupo,Pop-rock
María,Modestia Aparte,20/06/1992,1,es,Grupo,pop-rock
Ave Lucía,Sergio Dalma,27/06/1992,1,es,Hombre,Balada
Let's Get Rocked,Def Leppard,4/07/1992,1,en,Grupo,Metal
Better Days,Bruce Springsteen,11/07/1992,1,en,Hombre,Rock
Cuéntame un cuento,Celtas Cortos,18/07/1992,1,es,Grupo,Folk
Al lado de ti,La Trampa,25/07/1992,1,es,Grupo,Rock
Por verte feliz,Terapia Nacional,1/08/1992,1,es,Grupo,pop
Dame tu amistad,Tennessee,8/08/1992,1,es,Grupo,Doo wop
In the Closet,Michael Jackson,15/08/1992,1,en,Hombre,Pop
Una rosa es una rosa,Mecano,22/08/1992,1,es,Grupo,Pop
The One,Elton John,29/08/1992,1,en,Hombre,Pop rock
Weather With You,Crowded House,5/09/1992,1,en,Grupo,rock
Es por ti,Luz Casal,12/09/1992,1,es,Mujer,Balada
Historias de amor,OBK,19/09/1992,1,es,Grupo,Tecnopop
Jam,Michael Jackson,26/09/1992,1,en,Hombre,Pop
La vida empieza hoy,Sergio Dalma,3/10/1992,1,es,Hombre,Balada
El fallo positivo,Mecano,10/10/1992,1,es,Grupo,Pop
Otro día más sin verte,Jon Secada,17/10/1992,1,es,Hombre,Pop latino
Ya está bien,Celtas Cortos,24/10/1992,1,es,Grupo,Folk
Otro día más sin verte,Jon Secada,31/10/1992,1,es,Hombre,Pop latino
How Do You Do?,Roxette,7/11/1992,1,en,Mujer,Pop-rock
Humpin' Around,Bobby Brown,14/11/1992,1,en,Hombre,R&B
Juegos de amor,Cabaret Pop,21/11/1992,1,es,Grupo,Pop
Achy Breaky Heart,Billy Ray Cyrus,28/11/1992,1,en,Hombre,Folk
Erotica,Madonna,5/12/1992,1,en,Mujer,Pop
Mía,Platón,12/12/1992,1,es,Grupo,Balada
Drive,R.E.M.,19/12/1992,1,en,Grupo,Rock
A un minuto de ti,Mikel Erentxun,26/12/1992,1,es,Hombre,rock
Heal the World,Michael Jackson,2/01/1993,1,en,Hombre,Pop
No Ordinary Love,Sade,9/01/1993,1,en,Hombre,R&B
Keep the Faith,Bon Jovi,16/01/1993,1,en,Grupo,rock
I Will Always Love You,Whitney Houston,23/01/1993,1,en,Mujer,R&B
Baby Don't Cry,INXS,30/01/1993,1,en,Grupo,rock
Piel sobre piel,Tam Tam Go,6/02/1993,1,es,Grupo,Pop
I Will Always Love You,Whitney Houston,13/02/1993,1,en,Mujer,R&B
No te rindas,La Trampa,20/02/1993,1,es,Grupo,Rock
Solo por un día,Valera,27/02/1993,1,es,Grupo,Balada
Have You Ever Needed Someone So Bad,Def Leppard,6/03/1993,1,en,Grupo,Metal
El sitio de mi recreo,Antonio Vega,13/03/1993,1,es,Hombre,Pop
Rastros de ti,Cabaret Pop,20/03/1993,1,es,Grupo,Pop
Hope of Deliverance,Paul McCartney,27/03/1993,1,en,Hombre,Pop-Rock
I Feel You,Depeche Mode,3/04/1993,1,en,Grupo,New wave
El que canta su mal espanta,El último de la fila,10/04/1993,1,es,Grupo,Pop-rock
If I Ever Lose My Faith in You,Sting,17/04/1993,1,en,Hombre,Rock
Esta luz nunca se apagará,Mikel Erentxun,24/04/1993,1,es,Hombre,rock
Bed of Roses,Bon Jovi,1/05/1993,1,en,Grupo,rock
Cosas de la vida,Eros Ramazzotti,8/05/1993,1,es,Hombre,Pop latino
Salomé,U2,15/05/1993,1,en,Grupo,Rock
De ley,Rosario,22/05/1993,1,es,Mujer,Flamenco
Si tú no vuelves,Miguel Bosé,29/05/1993,1,es,Hombre,Pop latino
Ordinary World (Básico 40),Duran Duran,5/06/1993,1,en,Grupo,Pop rock
Si tú me miras,Alejandro Sanz,12/06/1993,1,es,Hombre,Pop Latino
Nuestros nombres,Héroes del Silencio,19/06/1993,1,es,Grupo,Rock
Livin' on the Edge,Aerosmith,26/06/1993,1,en,Grupo,Metal
Your Latest Trick,Dire Straits,3/07/1993,1,en,Grupo,Rock
All that She Wants,Ace of Base,10/07/1993,1,en,Grupo,Dance
Informer,Snow,17/07/1993,1,en,Hombre,Reggae
Dicen...,OBK,24/07/1993,1,es,Grupo,Tecnopop
Fields of Gold,Sting,31/07/1993,1,en,Hombre,Rock
Amiga mala suerte,Los Secretos,7/08/1993,1,es,Grupo,Pop rock
Mi tierra,Gloria Estefan,14/08/1993,1,es,Mujer,Pop latino
(I Can't Help) Falling in Love With You,UB40,21/08/1993,1,en,Hombre,reggae
Sin documentos,Los Rodríguez,28/08/1993,1,es,Grupo,rock
El hombre de negro,Loquillo y los Trogloditas,4/09/1993,1,es,Hombre,Rock
Numb,U2,11/09/1993,1,en,Grupo,Rock
Quiero tener tu presencia,Seguridad Social,18/09/1993,1,es,Grupo,Rock
Ella,Viceversa,25/09/1993,1,es,Grupo,tecno
Como un burro amarrado en la puerta del baile,El Último de la Fila,2/10/1993,1,es,Grupo,Pop-rock
Cantaloop (Flip Fantasia),US3,9/10/1993,1,en,Grupo,jazz rap
What's Up?,4 Non Blondes,16/10/1993,1,en,Grupo,rock
Otra como tú,Eros Ramazzotti,23/10/1993,1,es,Hombre,Pop latino
La herida,Héroes del Silencio,30/10/1993,1,es,Grupo,Rock
The River of Dreams,Billy Joel,6/11/1993,1,en,Hombre,rock
Tocar madera,Manolo Tena,13/11/1993,1,es,Hombre,pop
Higher Ground,UB40,20/11/1993,1,en,Grupo,reggae
El orden del mundo,Danza Invisible,27/11/1993,1,es,Grupo,new wave
Go West,Pet Shop Boys,4/12/1993,1,en,Grupo,Dance
Both Sides of the Story,Phil Collins,11/12/1993,1,en,Hombre,pop
Cryin',Aerosmith,18/12/1993,1,en,Grupo,Metal
Boom! Shake the Room,DJ Jazzy Jeff & The Fresh Prince,25/12/1993,1,en,Grupo,Hip hop
Un amigo de verdad,Viceversa,1/01/1994,1,es,Grupo,tecno
Me haces tanto bien,Amistades Peligrosas,8/01/1994,1,es,Grupo,pop
Please Forgive Me,Bryan Adams,15/01/1994,1,en,Hombre,Rock
Tranquilo majete,Celtas Cortos,22/01/1994,1,es,Grupo,Folk
The gift,INXS,29/01/1994,1,en,Grupo,rock
Ain't it Fun,Guns N' Roses,5/02/1994,1,en,Grupo,Metal
Echar a volar,David Santisteban,12/02/1994,1,es,Hombre,pop
Sólo para ti,Sergio Dalma,19/02/1994,1,es,Hombre,Balada
You Owe it All to Me,Texas,26/02/1994,1,en,Grupo,pop
Demasiado corazón (Too Much Heart),Willy DeVille,5/03/1994,1,en,Hombre,Americana
Dirty Dawg,New Kids on the Block,12/03/1994,1,en,Grupo,pop
Si es tan solo amor,Revólver,19/03/1994,1,es,Grupo,Pop-rock
Te comería el corazón,Miguel Bosé,26/03/1994,1,es,Hombre,Pop latino
Amazing,Aerosmith,2/04/1994,1,en,Grupo,Metal
Streets of Philadelphia,Bruce Springsteen,9/04/1994,1,en,Hombre,Rock
Casi nunca bailáis,Amistades Peligrosas,16/04/1994,1,es,Grupo,pop
Breathe Again,Toni Braxton,23/04/1994,1,en,Hombre,R&B
Madera de colleja,Celtas Cortos,30/04/1994,1,es,Grupo,Folk
La casa de los sueños,La Unión,7/05/1994,1,es,Grupo,Pop-rock
Mr. Jones,Counting Crows,14/05/1994,1,en,Grupo,rock
The Most Beautiful Girl in the World,Prince,21/05/1994,1,en,Hombre,Funk
Take it Back,Pink Floyd,28/05/1994,1,en,Grupo,Rock
You've Got to Give a Little,Texas,4/06/1994,1,en,Grupo,pop
Sleeping in my Car,Roxette,11/06/1994,1,en,Mujer,Pop-rock
Without You,Mariah Carey,18/06/1994,1,en,Mujer,R&B
Elixir de juventud,Antonio Vega,25/06/1994,1,es,Hombre,Pop
Dentro de ti (Básico 40),Revólver,2/07/1994,1,es,Grupo,Pop-rock
Baby I Love Your Way,Big Mountain,9/07/1994,1,en,Grupo,pop
What Do You Want From Me?,Pink Floyd,16/07/1994,1,en,Grupo,Rock
La soledad,Laura Pausini,23/07/1994,1,it,Mujer,Balada
El canario,No me pises que llevo chanclas,30/07/1994,1,es,Grupo,pop-rock
Vivir sin aire,Maná,6/08/1994,1,es,Hombre,rock
Señor Matanza,Mano Negra,13/08/1994,1,es,Grupo,world fusion
Somos el futuro,Siete-7 Black,20/08/1994,1,es,Grupo,hip hop
Capricornio,Duncan Dhu,27/08/1994,1,es,Grupo,Rock
Crazy,Aerosmith,3/09/1994,1,en,Grupo,Metal
Don't Turn Around,Ace of Base,10/09/1994,1,en,Grupo,Dance
Las palabras de amor,Presuntos Implicados,17/09/1994,1,es,Grupo,blues
Love is Strong,The Rolling Stones,24/09/1994,1,en,Grupo,Rock
I Swear,All 4 One,1/10/1994,1,en,Grupo,R&B
Love is all Around,Wet Wet Wet,8/10/1994,1,en,Grupo,rock
Let it Go,Prince,15/10/1994,1,en,Hombre,Funk
Crash! Boom! Bang!,Roxette,22/10/1994,1,en,Mujer,Pop-rock
Word Up,Gun,29/10/1994,1,en,Grupo,Metal
Se fue,Laura Pausini,5/11/1994,1,es,Mujer,Balada
Seven Seconds,Youssou N'Dour & Neneh Cherry,12/11/1994,1,en,Colaboración,World
Circle of Life,Carmen Twillie,19/11/1994,1,en,Mujer,bso
Always,Bon Jovi,26/11/1994,1,en,Grupo,rock
Summer in the City,Joe Cocker,3/12/1994,1,en,Hombre,Blues
"What's the Frequency, Kenneth?",R.E.M.,10/12/1994,1,en,Grupo,Rock
When We Dance,Sting,17/12/1994,1,en,Hombre,Rock
Amores extraños,Laura Pausini,24/12/1994,1,it,Mujer,Balada
Estoy aquí,Rosario,31/12/1994,1,es,Mujer,Flamenco
About a Girl,Nirvana,7/01/1995,1,en,Grupo,Rock
Amores extraños,Laura Pausini,14/01/1995,1,it,Mujer,Balada
"Hold me, Thrill me, Kiss me",Gloria Estefan,21/01/1995,1,en,Mujer,Pop latino
Take a Bow,Madonna,28/01/1995,1,en,Mujer,Pop
Blind Man,Aerosmith,4/02/1995,1,en,Grupo,Metal
Zombie,The Cranberries,11/02/1995,1,en,Grupo,Rock
Siete vidas,Antonio Flores,18/02/1995,1,es,Hombre,Rock
Bang and Blame,R.E.M.,25/02/1995,1,en,Grupo,Rock
A Conspirancy,The Black Crowes,4/03/1995,1,en,Grupo,rock
Comerranas,Seguridad Social,11/03/1995,1,es,Grupo,Rock
Here Comes the Hotstepper,Ini Kamoze,18/03/1995,1,en,Hombre,Reggae
Believe,Elton John,25/03/1995,1,en,Hombre,Pop rock
Murder Incorporated,Bruce Springsteen,1/04/1995,1,en,Hombre,Rock
No More I Love You's,Annie Lennox,8/04/1995,1,en,Mujer,pop
"Someday, I'll Be Saturday Night",Bon Jovi,15/04/1995,1,en,Grupo,rock
No va más,Revólver,22/04/1995,1,es,Grupo,Pop-rock
The Man Who Sold the World,Nirvana,29/04/1995,1,en,Grupo,Rock
Ruido,Joaquín Sabina,6/05/1995,1,es,Hombre,Trova
Secret Garden,Bruce Springsteen,13/05/1995,1,en,Hombre,Rock
A un perro flaco,Juan Perro,20/05/1995,1,es,Hombre,rock
Back for Good,Take That,27/05/1995,1,en,Grupo,pop
La fuerza del corazón,Alejandro Sanz,3/06/1995,1,es,Hombre,Pop Latino
Everlasting Love,Gloria Estefan,10/06/1995,1,en,Mujer,Pop latino
Scatman,Scatman John,17/06/1995,1,en,Hombre,Dance
Scream,Michael Jackson,24/06/1995,1,en,Hombre,Pop
Have You Ever Really Loved a Woman?,Bryan Adams,1/07/1995,1,en,Hombre,Rock
This Ain't a Love Song,Bon Jovi,8/07/1995,1,en,Grupo,rock
Milonga del marinero y el capitán,Los Rodríguez,15/07/1995,1,es,Grupo,rock
Mishale,Andru Donalds,22/07/1995,1,en,Hombre,Reggae
Entre mis recuerdos,Luz Casal,29/07/1995,2,es,Mujer,Balada
Can't Cry Anymore,Sheryl Crow,12/08/1995,1,en,Mujer,Pop
Mi razón de ser,OBK,19/08/1995,1,es,Grupo,Tecnopop
En la selva,Juan Perro,26/08/1995,1,es,Hombre,rock
Mi soledad y yo,Alejandro Sanz,2/09/1995,1,es,Hombre,Pop Latino
Scatman's World,Scatman John,9/09/1995,1,en,Hombre,pop
Sin llaves,El Último de la Fila,16/09/1995,1,es,Grupo,Pop rock
Shy Guy,Diana King,23/09/1995,1,en,Mujer,reggae
Iberia sumergida,Héroes del Silencio,30/09/1995,1,es,Grupo,Rock
Aquí no podemos hacerlo,Los Rodríguez,7/10/1995,1,es,Grupo,rock
Rock and Roll is Dead,Lenny Kravitz,14/10/1995,1,en,Hombre,Rock
You Are Not Alone,Michael Jackson,21/10/1995,1,en,Hombre,Pop
Besaré el suelo,Luz Casal,28/10/1995,1,es,Mujer,Balada
Iberia sumergida,Héroes del Silencio,4/11/1995,1,es,Grupo,Rock
Something for the Pain,Bon Jovi,11/11/1995,1,en,Grupo,rock
Fairground,Simply Red,18/11/1995,1,en,Grupo,soul
No despertaré,Sergio Dalma,25/11/1995,1,es,Hombre,Balada
Problema,Ketama,2/12/1995,1,es,Grupo,Flamenco
Las mentiras del viento,Manolo Tena,9/12/1995,1,es,Hombre,pop
Pedir tu mano,El Último de la Fila,16/12/1995,1,es,Grupo,Pop rock
Más allá,Gloria Estefan,23/12/1995,1,es,Mujer,Pop latino
Heaven for Everyone,Queen,30/12/1995,1,en,Grupo,Rock
Jesus to a Child,George Michael,6/01/1996,1,en,Grupo,Pop
La chispa adecuada (Bendecida 3),Héroes del Silencio,13/01/1996,1,es,Hombre,Rock
Lo eres todo,Luz Casal,20/01/1996,1,es,Mujer,Balada
Earth Song,Michael Jackson,27/01/1996,1,en,Hombre,Pop
Exhale (Shoop Shoop),Whitney Houston,3/02/1996,1,en,Mujer,R&B
Nirvana,Elbosco,10/02/1996,1,en,Grupo,New age
Verás (You'll See),Madonna,17/02/1996,1,en,Mujer,Pop
Wonderwall,Oasis,24/02/1996,1,en,Grupo,Pop
Quiero morir en tu veneno,Alejandro Sanz,2/03/1996,1,es,Hombre,Pop Latino
Suelta las riendas de mi corazón,Mikel Erentxun,9/03/1996,1,es,Hombre,rock
Missing,Everything but the Girl,16/03/1996,1,en,Grupo,pop
The Universal,Blur,23/03/1996,1,en,Grupo,Pop
Flor de lis,Ketama,30/03/1996,1,pt,Grupo,Flamenco fusión
Spaceman,Babylon Zoo,6/04/1996,1,en,Grupo,rock
How Deep Is Your Love,Bee Gees,13/04/1996,1,en,Grupo,Pop
Children,Robert Miles,20/04/1996,1,en,Hombre,electronica
Me quedaré solo,Amistades Peligrosas,27/04/1996,1,es,Grupo,pop
Negrita,La Unión,4/05/1996,1,es,Grupo,Pop-rock
Let Your Soul Be Your Pilot,Sting,11/05/1996,1,en,Hombre,Rock
Darling Pretty,Mark Knopfler,18/05/1996,1,en,Hombre,rock
Fastlove,George Michael,25/05/1996,2,en,Hombre,Pop
La cosa más bella,Eros Ramazzotti,8/06/1996,1,es,Hombre,Pop latino
These Days,Bon Jovi,15/06/1996,1,en,Grupo,rock
Reach,Gloria Estefan,22/06/1996,1,en,Mujer,Pop latino
No nos podrán parar,Celtas Cortos,29/06/1996,1,es,Grupo,Folk
Salvation,The Cranberries,6/07/1996,1,en,Grupo,Rock
María,Ricky Martin,13/07/1996,1,es,Hombre,Pop latino
Lemon Tree,Fools Garden,20/07/1996,1,en,Grupo,pop rock
Mucho mejor,Los Rodríguez,27/07/1996,1,es,Grupo,rock
The Only Thing that Looks Good on Me Is You,Bryan Adams,3/08/1996,1,en,Hombre,Rock
Until It Sleeps,Metallica,10/08/1996,1,en,Grupo,metal
Contigo,Joaquín Sabina,17/08/1996,1,es,Hombre,Trova
A sudar,Danza Invisible,24/08/1996,1,es,Grupo,new wave
El talismán,Rosana,31/08/1996,1,es,Mujer,Folk
Ironic,Alanis Morissette,7/09/1996,1,en,Hombre,rock
Estrella gemela,Eros Ramazzotti,14/09/1996,1,es,Hombre,Pop latino
Killing Me Softly,Fugees,21/09/1996,1,en,Grupo,R&B
Lo echamos a suertes,Ella baila sola,28/09/1996,1,es,Grupo,Pop
Dame,Luis Miguel,5/10/1996,1,es,Hombre,Balada
Duro de pelar,Rebeca,12/10/1996,1,es,Mujer,pop
Spinning the Wheel,George Michael,19/10/1996,1,en,Hombre,Pop
El tacto de su piel,Lydia,26/10/1996,1,es,Mujer,pop rock
Woman,Neneh Cherry,2/11/1996,1,en,Mujer,Hip hop
Dance into the Light,Phil Collins,9/11/1996,1,en,Hombre,pop
Se a vida é (That's the Way Life Is),Pet Shop Boys,16/11/1996,1,en,Grupo,Electrónica
Inolvidable,Laura Pausini,23/11/1996,1,es,Mujer,Balada
Wannabe,Spice Girls,30/11/1996,1,en,Grupo,Pop
Vivimos siempre juntos,Nacho Cano,7/12/1996,1,es,Hombre,pop
Sunset Boulevard,Javier Álvarez,14/12/1996,1,es,Hombre,autor
Qué bonito,Rosario,21/12/1996,1,es,Mujer,Flamenco
Child,Mark Owen,28/12/1996,1,en,Hombre,pop
La aurora,Eros Ramazzotti,4/01/1997,1,it,Hombre,Pop latino
Mi enfermedad,Los Rodríguez,11/01/1997,1,es,Grupo,rock
Este mundo va,Miguel Bosé,18/01/1997,1,es,Hombre,Pop latino
Cuando los sapos bailen flamenco,Ella baila sola,25/01/1997,1,es,Grupo,Pop
Y sin embargo,Joaquín Sabina,1/02/1997,1,es,Hombre,Trova
Salta!!!,Seguridad Social,8/02/1997,1,es,Grupo,Rock
Don't Speak,No Doubt,15/02/1997,1,en,Grupo,ska punk
Step by Step,Whitney Houston,22/02/1997,1,en,Mujer,R&B
Cosmic Girl,Jamiroquai,1/03/1997,1,en,Grupo,Funk
Beetlebum,Blur,8/03/1997,1,en,Grupo,Pop
Las cosas que vives,Laura Pausini,15/03/1997,1,es,Mujer,Balada
Say You'll Be There,Spice Girls,22/03/1997,1,en,Grupo,Pop
Weather with You,Crowded House,29/03/1997,1,en,Grupo,rock
"Don't Cry for Me, Argentina",Madonna,5/04/1997,1,en,Mujer,Pop
Barrel of a Gun,Depeche Mode,12/04/1997,1,en,Grupo,New wave
A tu lado,Rosario,19/04/1997,1,es,Mujer,Flamenco
Discotheque,U2,26/04/1997,1,en,Grupo,Rock
Quit Playin' Games,Backstreet Boys,3/05/1997,1,en,Grupo,Pop
Say what You Want,Texas,10/05/1997,1,en,Grupo,pop
Your Woman,White Town,17/05/1997,1,en,Grupo,dance
Amores de barra,Ella baila sola,24/05/1997,1,es,Mujer,pop
Sweet Kisses,Squeezer,31/05/1997,1,en,Grupo,Pop rock
Si sí... o si no,David Summers,7/06/1997,1,es,Hombre,rock
Moja mi corazón,Marta Sánchez,14/06/1997,1,es,Mujer,pop latino
Grande,Paolo Vallesi con Alejandro Sanz,21/06/1997,1,es,Colaboración,pop
La suerte que viene y va,Nacho Cano,28/06/1997,1,es,Hombre,pop
Song 2,Blur,5/07/1997,1,en,Grupo,Pop
The Real Thing,Lisa Stansfield,12/07/1997,1,en,Mujer,R&B
Blood on the Dance Floor,Michael Jackson,19/07/1997,1,en,Hombre,Pop
Garota nacional,Skank,26/07/1997,1,pt,Grupo,Reggae
Frío sin ti,Navajita Plateá,2/08/1997,1,es,Grupo,Flamenco
MMMBop,Hanson,9/08/1997,1,en,Grupo,Pop rock
Haz turismo,Celtas Cortos,16/08/1997,1,es,Grupo,Folk
A contratiempo,Ana Torroja,23/08/1997,1,es,Mujer,Pop
Staring at the Sun,U2,30/08/1997,1,en,Grupo,Rock
La flaca,Jarabe de Palo,6/09/1997,1,es,Hombre,Rock
Laura no está,Nek,13/09/1997,1,it,Hombre,Pop
Cantos de sirena,Inma Serrano,20/09/1997,1,es,Mujer,Pop
I'll Be Missing You,Puff Daddy,27/09/1997,1,en,Hombre,Rap
Everybody (Backstreet's Back),Backstreet Boys,4/10/1997,1,en,Grupo,Pop
"Y, ¿si fuera ella?",Alejandro Sanz,11/10/1997,1,es,Hombre,Pop Latino
Serenade,Dover,18/10/1997,1,en,Grupo,Rock
Bitch,Meredith Brooks,25/10/1997,1,en,Mujer,pop rock
Candle in the Wind,Elton John,1/11/1997,1,en,Hombre,Pop rock
Salomé,Bunbury,8/11/1997,1,es,Hombre,Rock
Honey,Mariah Carey,15/11/1997,1,en,Mujer,R&B
Loco,Andrés Calamaro,22/11/1997,1,es,Hombre,Rock
Estatua de sal,Ketama,29/11/1997,1,es,Hombre,Flamenco
Barbie Girl,Aqua,6/12/1997,1,en,Grupo,dance
Anybody Seen My Baby?,The Rolling Stones,13/12/1997,1,en,Grupo,Rock
Bittersweet Symphony,The Verve,20/12/1997,1,en,Grupo,rock
Todas las flores,Presuntos Implicados,27/12/1997,1,es,Grupo,Folk
Corazón partío,Alejandro Sanz,3/01/1998,2,es,Hombre,Pop Latino
Only When I Sleep,The Corrs,17/01/1998,1,en,Grupo,Folk
As long as you love me,Backstreet Boys,24/01/1998,1,en,Grupo,Pop
Raincloud,Lighthouse Family,31/01/1998,1,en,Grupo,pop
Nada que perder,Amistades Peligrosas,7/02/1998,1,es,Grupo,pop
Desátame,Mónica Naranjo,14/02/1998,1,es,Mujer,pop
Angel of Mine,Eternal,21/02/1998,1,en,Grupo,R&B
Acuarela,Seguridad Social,28/02/1998,1,es,Grupo,Rock
Come into my Life,Gala,7/03/1998,1,en,Mujer,Dance
Together Again,Janet Jackson,14/03/1998,1,en,Mujer,R&B
Everything's Gonna Be Alright,Sweetbox,21/03/1998,1,en,Grupo,Pop
Flaca,Andrés Calamaro,28/03/1998,1,es,Hombre,Rock
My Heart Will Go On,Céline Dion,4/04/1998,1,en,Mujer,Balada
Torn,Natalie Imbruglia,11/04/1998,1,en,Mujer,pop rock
De qué me sirve llorar,OBK,18/04/1998,1,es,Grupo,Tecnopop
Frozen,Madonna,25/04/1998,1,en,Mujer,Pop
¿Quién se acuerda de ti?,Mikel Erentxun,2/05/1998,1,es,Hombre,rock
La copa de la vida,Ricky Martin,9/05/1998,1,es,Hombre,Pop latino
El club de los humildes,Mecano,16/05/1998,1,es,Grupo,Pop
Never Ever,All Saints,23/05/1998,1,en,Grupo,R&B
