ID,serie,temporada,episodio,numero,estreno,,puntuacion,votos,imagen,fecha,hora
11,The Walking Dead,2,Chupacabra,5,13 Nov. 2011,,8.1,7902,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:31:57.070327
12,The Walking Dead,2,Secrets,6,21 Nov. 2011,,7.8,7627,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:31:57.070327
13,The Walking Dead,2,Pretty Much Dead Already,7,28 Nov. 2011,,9.2,11561,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:31:57.070327
14,The Walking Dead,2,Nebraska,8,13 Feb. 2012,,8.3,7701,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:31:57.070327
15,The Walking Dead,2,Triggerfinger,9,20 Feb. 2012,,8.4,7471,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:31:57.070327
16,The Walking Dead,2,18 Miles Out,10,27 Feb. 2012,,8.6,7750,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:31:57.070327
17,The Walking Dead,2,"Judge, Jury, Executioner",11,5 Mar. 2012,,8.6,7876,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:31:57.070327
18,The Walking Dead,2,Better Angels,12,11 Mar. 2012,,8.9,9485,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:31:57.070327
19,The Walking Dead,2,Beside the Dying Fire,13,19 Mar. 2012,,9.1,10918,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:31:57.070327
20,The Walking Dead,3,Seed,1,15 Oct. 2012,,8.8,9968,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:03.051221
21,The Walking Dead,3,Sick,2,22 Oct. 2012,,8.7,7968,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:03.051221
22,The Walking Dead,3,Walk with Me,3,29 Oct. 2012,,8.3,7660,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:03.051221
23,The Walking Dead,3,Killer Within,4,5 Nov. 2012,,9.2,10912,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:03.051221
24,The Walking Dead,3,Say the Word,5,12 Nov. 2012,,8.3,7065,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:03.051221
25,The Walking Dead,3,Hounded,6,19 Nov. 2012,,8.4,6946,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:03.051221
26,The Walking Dead,3,When the Dead Come Knocking,7,26 Nov. 2012,,8.7,7152,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:03.051221
27,The Walking Dead,3,Made to Suffer,8,3 Dec. 2012,,8.8,8130,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:03.051221
28,The Walking Dead,3,The Suicide King,9,11 Feb. 2013,,8.2,7258,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:03.051221
29,The Walking Dead,3,Home,10,17 Feb. 2013,,8.7,7870,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:03.051221
30,The Walking Dead,3,I Ain't a Judas,11,24 Feb. 2013,,7.9,7032,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:03.051221
31,The Walking Dead,3,Clear,12,3 Mar. 2013,,8.7,8595,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:03.051221
32,The Walking Dead,3,Arrow on the Doorpost,13,10 Mar. 2013,,7.8,7267,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:03.051221
33,The Walking Dead,3,Prey,14,17 Mar. 2013,,8,7266,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:03.051221
34,The Walking Dead,3,This Sorrowful Life,15,24 Mar. 2013,,8.7,8379,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:03.051221
35,The Walking Dead,3,Welcome to the Tombs,16,31 Mar. 2013,,8.3,8737,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:03.051221
36,The Walking Dead,4,30 Days Without an Accident,1,13 Oct. 2013,,8.3,9286,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:08.074244
37,The Walking Dead,4,Infected,2,20 Oct. 2013,,8.5,7745,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:08.074244
38,The Walking Dead,4,Isolation,3,27 Oct. 2013,,8.1,7162,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:08.074244
39,The Walking Dead,4,Indifference,4,3 Nov. 2013,,8.1,7201,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:08.074244
40,The Walking Dead,4,Internment,5,10 Nov. 2013,,8.7,8969,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:08.074244
41,The Walking Dead,4,Live Bait,6,17 Nov. 2013,,7.9,7584,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:08.074244
42,The Walking Dead,4,Dead Weight,7,24 Nov. 2013,,7.9,7357,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:08.074244
43,The Walking Dead,4,Too Far Gone,8,1 Dec. 2013,,9.6,19368,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:08.074244
44,The Walking Dead,4,After,9,9 Feb. 2014,,8.2,8223,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:08.074244
45,The Walking Dead,4,Inmates,10,16 Feb. 2014,,8.3,7410,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:08.074244
46,The Walking Dead,4,Claimed,11,23 Feb. 2014,,8.3,7167,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:08.074244
47,The Walking Dead,4,Still,12,2 Mar. 2014,,7.2,10134,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:08.074244
48,The Walking Dead,4,Alone,13,9 Mar. 2014,,8.1,7446,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:08.074244
49,The Walking Dead,4,The Grove,14,16 Mar. 2014,,9,11928,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:08.074244
50,The Walking Dead,4,Us,15,23 Mar. 2014,,8.5,7212,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:08.074244
51,The Walking Dead,4,A,16,30 Mar. 2014,,9,11508,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:08.074244
52,The Walking Dead,5,No Sanctuary,1,12 Oct. 2014,,9.5,21130,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:13.552095
53,The Walking Dead,5,Strangers,2,19 Oct. 2014,,8.6,9092,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:13.552095
54,The Walking Dead,5,Four Walls and a Roof,3,26 Oct. 2014,,8.9,10179,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:13.552095
55,The Walking Dead,5,Slabtown,4,2 Nov. 2014,,7.6,8952,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:13.552095
56,The Walking Dead,5,Self Help,5,9 Nov. 2014,,8,7829,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:13.552095
57,The Walking Dead,5,Consumed,6,16 Nov. 2014,,8.2,7613,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:13.552095
58,The Walking Dead,5,Crossed,7,23 Nov. 2014,,8,7077,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:13.552095
59,The Walking Dead,5,Coda,8,30 Nov. 2014,,8.7,9936,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:13.552095
60,The Walking Dead,5,What Happened and What's Going On,9,8 Feb. 2015,,8,9510,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:13.552095
61,The Walking Dead,5,Them,10,15 Feb. 2015,,7.6,7881,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:13.552095
62,The Walking Dead,5,The Distance,11,22 Feb. 2015,,8.6,7416,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:13.552095
63,The Walking Dead,5,Remember,12,1 Mar. 2015,,8.7,7725,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:13.552095
64,The Walking Dead,5,Forget,13,8 Mar. 2015,,8.1,6818,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:13.552095
65,The Walking Dead,5,Spend,14,15 Mar. 2015,,8.8,8833,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:13.552095
66,The Walking Dead,5,Try,15,22 Mar. 2015,,8.6,7261,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:13.552095
67,The Walking Dead,5,Conquer,16,29 Mar. 2015,,9.2,12294,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:13.552095
68,The Walking Dead,6,First Time Again,1,11 Oct. 2015,,8.7,11720,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:19.379038
69,The Walking Dead,6,JSS,2,18 Oct. 2015,,9.2,11556,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:19.379038
70,The Walking Dead,6,Thank You,3,25 Oct. 2015,,9.2,12472,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:19.379038
71,The Walking Dead,6,Here's Not Here,4,1 Nov. 2015,,8.3,10298,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:19.379038
72,The Walking Dead,6,Now,5,8 Nov. 2015,,7.3,7585,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:19.379038
73,The Walking Dead,6,Always Accountable,6,15 Nov. 2015,,7.8,7051,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:19.379038
74,The Walking Dead,6,Heads Up,7,22 Nov. 2015,,8.2,6986,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:19.379038
75,The Walking Dead,6,Start to Finish,8,29 Nov. 2015,,8.1,7668,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:19.379038
76,The Walking Dead,6,No Way Out,9,14 Feb. 2016,,9.6,21724,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:19.379038
77,The Walking Dead,6,The Next World,10,21 Feb. 2016,,8.5,7791,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:19.379038
78,The Walking Dead,6,Knots Untie,11,28 Feb. 2016,,8.3,6585,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:19.379038
79,The Walking Dead,6,Not Tomorrow Yet,12,6 Mar. 2016,,8.8,8655,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:19.379038
80,The Walking Dead,6,The Same Boat,13,13 Mar. 2016,,8.7,7872,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:19.379038
81,The Walking Dead,6,Twice as Far,14,20 Mar. 2016,,8.1,6714,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:19.379038
82,The Walking Dead,6,East,15,27 Mar. 2016,,8,6712,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:19.379038
83,The Walking Dead,6,Last Day on Earth,16,3 Apr. 2016,,6.3,24597,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:19.379038
84,The Walking Dead,7,The Day Will Come When You Won't Be,1,23 Oct. 2016,,9,32714,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:24.502971
85,The Walking Dead,7,The Well,2,30 Oct. 2016,,7.2,10027,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:24.502971
86,The Walking Dead,7,The Cell,3,6 Nov. 2016,,7.6,8564,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:24.502971
87,The Walking Dead,7,Service,4,13 Nov. 2016,,7.6,8249,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:24.502971
88,The Walking Dead,7,Go Getters,5,20 Nov. 2016,,6.8,7667,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:32:24.502971
